delay,freq,condition,textbox.text,button.numClicks,,,,,
0.1,1000,exp,600,1,,,,,
0.4,1000,exp,200,2,,,,,
0.1,400,unexp ,500,3,,,,,
0.7,1000,exp,800,4,,,,,
0.7,400,unexp ,500,5,,,,,
0.7,1000,exp,900,6,,,,,
0.4,1000,exp,900,7,,,,,
0.4,1000,exp,500,8,,,,,
0.4,400,unexp ,400,9,,,,,
,,,,,,,,,
,,,,,,,,,
expected ,,,,,,MEAN,,,
0.1,1000,,600,1,,650,,,
0.4,1000,,200,2,,,,,
0.7,1000,,800,4,,,,,
0.7,1000,,900,6,,,,,
0.4,1000,,900,7,,,,,
0.4,1000,,500,8,,,,,
,,,,,,,,DIFFRENCE ,183.3333333
,,,,,,,,,
unexpected,,,,,,MEAN,,,
0.1,400,,500,3,,466.6666667,,,
0.7,400,,500,5,,,,,
0.4,400,,400,9,,,,,
